work_year	salary_in_usd	company_location
2023	136000	United States
2023	260000	United States
2023	136000	United States
2023	222200	United States
2023	136000	United States
2023	156000	United States
2023	124000	United States
2023	200000	United States
2023	132600	United States
2023	308000	United States
2023	190400	United States
2023	155000	United States
2023	136000	United States
2023	160000	United States
2023	75000	United States
2023	214500	United States
2023	132600	United States
2023	111000	United States
2023	104000	United States
2023	260000	United States
2023	136000	United States
2023	85000	United States
2023	75000	United States
2023	180250	United States
2023	118000	United States
2023	212800	United States
2023	111600	United States
2023	157500	United States
2023	132500	United States
2023	85000	United States
2023	75000	United States
2023	93918	United States
2023	51962	United States
2023	171000	United States
2023	152000	United States
2023	223600	United States
2023	115000	United States
2023	166000	United States
2023	73100	United States
2023	140000	United States
2023	110000	United States
2023	130900	United States
2023	72700	United States
2023	333500	United States
2023	144000	United States
2023	180000	United States
2023	118200	United States
2023	354200	United States
2023	221800	United States
2023	166000	United States
2023	73000	United States
2023	156600	United States
2023	137200	United States
2023	149000	United States
2023	65300	United States
2023	187000	United States
2023	180000	United States
2023	119636	United States
2023	70374	United States
2023	105000	United States
2023	67000	United States
2023	102000	United States
2023	94770	United States
2023	186000	United States
2023	81800	United States
2023	133000	United States
2023	58400	United States
2023	169900	United States
2023	164100	United States
2023	305600	United States
2023	172500	United States
2023	105000	United States
2023	75000	United States
2023	37573	Netherlands
2022	36940	United Kingdom
2023	180240	United States
2023	120160	United States
2023	212000	United States
2023	93400	United States
2023	275000	United States
2023	170000	United States
2023	119000	United States
2023	71400	United States
2023	115950	United States
2023	69570	United States
2023	225100	United States
2023	140900	United States
2023	116000	United States
2023	90000	United States
2023	212000	United States
2023	93300	United States
2023	179000	United States
2023	144000	United States
2023	250800	United States
2023	167200	United States
2023	144000	United States
2023	76000	United States
2023	230000	United States
2023	180000	United States
2023	156450	United States
2023	119200	United States
2023	150000	United States
2023	130000	United States
2023	247500	United States
2023	172200	United States
2023	155000	United States
2023	125000	United States
2023	175000	United States
2023	97500	United States
2023	220000	United States
2023	185000	United States
2023	100000	United States
2023	75000	United States
2023	303050	United States
2023	202350	United States
2023	21593	Portugal
2023	201650	United States
2023	124600	United States
2023	198200	United States
2023	110200	United States
2023	212000	United States
2023	93400	United States
2023	145000	United States
2023	110000	United States
2023	89500	United States
2023	65000	United States
2023	328400	United States
2023	205600	United States
2023	184800	United States
2023	161900	United States
2023	85000	United States
2023	61800	United States
2023	70748	United Kingdom
2023	67056	United Kingdom
2023	116000	United States
2023	72500	United States
2023	215000	United States
2023	169850	United States
2023	225000	United States
2023	180000	United States
2023	147400	United States
2023	107682	United States
2023	225300	United States
2023	197400	United States
2023	160000	United States
2023	136000	United States
2023	204600	United States
2023	126500	United States
2023	210000	United States
